index,GameID,DateTime_x,IsClosed,AwayTeamID,HomeTeamID,AwayTeamScore,HomeTeamScore,TeamID,NewsID,Content,DateTime_y,Url,Source,DiffrenceInDay
4,20860,2023-11-15,False,36,25,,,25,27356,"Edmonton Oilers center/left wing Leon Draisaitl matched his season-high point total for a single game with four points in Monday's 4-1 victory against the Islanders. With the game tied at one heading into the third period, the Oilers managed to score three times in the final frame to pick up their first victory under new head coach Kris Knoblauch. Draisaitl assisted on all three of the third period goals, with Oilers forwards Zach Hyman, Connor McDavid and Evander Kane each scoring a goal in the frame. Draisaitl's four-point night brings his season totals to six goals and 13 assists through 14 games, while the 28-year-old forward is the team leader with 19 points.",2023-11-14,https://www.rotoballer.com/player-news/leon-draisaitl-leads-team-with-four-points-in-victory/1271783,RotoBaller,1 days
124,20826,2023-11-10,True,15,10,1,0,10,27196,"New Jersey Devils forward Jack Hughes sustained an upper-body injury in Friday's 4-1 defeat against St. Louis. He exited the game after crashing awkwardly into the boards. Hughes, who is the early-season leader in the NHL in assists (15) and points (20), logged just 3:55 of ice time in the contest. It's been reported it might take a day or two to determine the severity of the issue, and Hughes should be regarded as highly questionable for Sunday's tilt against Chicago. The Devils have already been playing without Nico Hischier (upper body), so the team's center depth will get a major test if Hughes has to miss time.",2023-11-04,https://www.rotoballer.com/player-news/jack-hughes-exits-with-upper-body-injury/1266100,RotoBaller,6 days
94,20818,2023-11-09,True,17,6,6,4,6,27255,"Tampa Bay Lightning goaltender Matt Tomkins collected his first career NHL win as he stopped 23-of-26 shots on goal in Tuesday's 5-3 victory against the Canadiens. The 29-year-old netminder was making his third career start in the road contest, and he was perfect through the opening two periods of the game prior to surrendering three goals in the final frame. Tomkins carries a record of 1-2-0 to go along with a 3.40 goals against average and .889 save percentage through three appearances, and he will continue to operate as the backup to goaltender Jonas Johansson, until starter Andrei Vasilevskiy (back) is able to return to the ice and make his regular season debut.",2023-11-08,https://www.rotoballer.com/player-news/matt-tomkins-earns-first-career-nhl-victory/1268313,RotoBaller,1 days
110,20811,2023-11-08,True,5,7,1,0,7,27239,"Toronto Maple Leafs center Auston Matthews continued his terrific start to the season as he scored two goals in Monday's 6-5 overtime victory against the Lightning. Matthews was joined on the top line by forwards Mitchell Marner and Matthew Knies, with the lineup change making a difference as the trio of forwards showed great chemistry throughout the contest. With the multi-goal performance, Matthews brought his season total up to a league-leading 13 goals and team-high of 18 points through 12 games. The 26-year-old will look to add to his scoring streak in Wednesday's home game against the Senators.",2023-11-07,https://www.rotoballer.com/player-news/auston-matthews-scores-twice-in-comeback-victory/1267609,RotoBaller,1 days
83,20804,2023-11-07,True,3,12,4,7,12,27173,"New York Rangers defenseman Adam Fox left Thursday night's contest versus the Carolina Hurricanes early with an apparent injury following a collision with Hurricanes center Sebastian Aho. He has been ruled out for the remainder of the contest. Obviously, any lengthy absence for the 25-year-old would be a significant blow for the Rangers. Fox has erupted for 11 points through the first nine games this season after registering 72 points in 82 games last season, finishing as the Norris Trophy runner-up to Erik Karlsson in the process. In his absence, Erik Gustafsson is the likeliest candidate to take over as the lone defenseman on the Rangers' top power-play unit while Jacob Trouba would likely take over as the No. 1 defenseman on the right side of the club's blueline.",2023-11-03,https://www.rotoballer.com/player-news/adam-fox-departs-early-thursday/1265259,RotoBaller,4 days
137,20806,2023-11-07,True,21,24,3,5,24,27224,"Calgary Flames winger Andrew Mangiapane has been suspended for one game for cross-checking Seattle Kraken forward Jared McCann in Saturday's 6-3 win. The suspension will keep Mangiapane out from Tuesday's clash with the Predators. His absence will be felt all over the ice, as Mangiapane is the team's second-leading scorer with seven points (four goals, three assists) and is third among the forwards with eight hits through 11 games. Calgary will need to tweak its first line and second power-play unit in Mangiapane's absence.",2023-11-06,https://www.rotoballer.com/player-news/andrew-mangiapane-suspended-one-game/1267101,RotoBaller,1 days
115,20797,2023-11-06,True,6,7,1,1,7,27211,"Toronto Maple Leafs center Auston Matthews potted his third hat trick of the season Saturday against Buffalo. He kept the team in the game until Alex Tuch tilted things in the Sabres' favor 6-4 with a couple of late goals. Having notched his 10th career hat trick, Matthews is now tied for the fourth most three-goal games in franchise history. Toronto's star forward has also tallied four assists in 11 outings during a prolific start to the campaign. Matthews is among the best goal-scorers in the game and looks ready to challenge for the Rocket Richard Trophy again.",2023-11-05,https://www.rotoballer.com/player-news/auston-matthews-scores-third-hat-trick-of-the-season/1266569,RotoBaller,1 days
72,20798,2023-11-06,True,16,8,1,1,8,27126,"Florida Panthers center Sam Bennett was limited to only 7:54 of action in his season debut versus Boston on Monday, exiting the contest with a lower-body injury. He appeared to have hurt his left leg when Bruins defenseman Hampus Lindholm landed on it. Bennett also missed the first seven games of the season with a lower-body injury, but it's not currently clear if the two issues are related. Florida has done well without Bennett, but he's averaged 0.72 points per game with the team and definitely adds more quality to the lineup. An update on Bennett's status can be expected before Thursday's meeting with Detroit.",2023-10-31,https://www.rotoballer.com/player-news/sam-bennett-suffers-a-new-injury-blow/1263666,RotoBaller,6 days
159,20784,2023-11-04,True,26,13,1,0,13,27159,"Philadelphia Flyers goaltender Carter Hart had to settle for only 10 minutes of action in Wednesday's matchup against the Sabres, exiting the game with a mid-body injury. He had a rough start to the game by giving up two goals on five shots, and the injury added to his misery. Sam Ersson didn't have much joy either as Hart's replacement, and Philadelphia ended up as a 5-2 loser of the contest. Hart has impressed early in the season and carried a 4-3-0 record with a 2.30 goals-against average ahead of Wednesday's action. It's been the opposite with Ersson, who has given up nearly five goals (4.91) and sits on a horrible .763 save percentage. The Flyers look to be in massive trouble if Hart is out long-term. Felix Sandstrom is the other alternative between the pipes for Philadelphia.",2023-11-02,https://www.rotoballer.com/player-news/carter-hart-injured-in-wednesdays-loss/1264890,RotoBaller,2 days
133,20766,2023-11-02,True,7,1,1,1,1,27140,"Boston Bruins defenseman Charlie McAvoy has received a four-game suspension for an illegal check to the head of Florida Panthers defenseman Oliver Ekman-Larsson. The incident resulted in McAvoy getting a match penalty in Monday's game, and he'll now have plenty of time to think about his actions. McAvoy scored in a second consecutive game Monday and has been on fire with eight points in nine games. The Bruins also lost Matt Grzelcyk (upper body) to injury in Monday's game, meaning the entire first defensive pairing got wiped out in one night. Hampus Lindholm and Brandon Carlo should receive a nice boost in playing time now, while the rest of the blue line will need to put in extra shifts as well. McAvoy will be eligible to return to action on Nov. 11 against Montreal.",2023-11-01,https://www.rotoballer.com/player-news/charlie-mcavoy-suspended-four-games/1264216,RotoBaller,1 days
